Page location,Page title,Total users,Views,Sessions,url_path
https://otc-cta.gc.ca/eng/publication/flight-delays-and-cancellations-a-guide,Flight Delays and Cancellations: A Guide | Canadian Transportation Agency,114019.0,171543.0,167696.0,/publication/flight-delays-and-cancellations-a-guide
https://otc-cta.gc.ca/eng/air-travel-complaints-resolution-process,Air travel complaints resolution process | Canadian Transportation Agency,64237.0,101068.0,92296.0,/air-travel-complaints-resolution-process
https://otc-cta.gc.ca/eng/splashify-splash,Office des transports du Canada | Canadian Transportation Agency | Canadian Transportation Agency,53909.0,64787.0,58617.0,/splashify-splash
https://otc-cta.gc.ca/eng/air-passenger-protection-regulations-highlights,Air Passenger Protection Regulations Highlights | Canadian Transportation Agency,48311.0,67616.0,64579.0,/air-passenger-protection-regulations-highlights
https://otc-cta.gc.ca/eng/complaint-and-dispute-resolution,Complaint and dispute resolution | Canadian Transportation Agency,26698.0,37712.0,31167.0,/complaint-and-dispute-resolution
https://otc-cta.gc.ca/eng/contact-us,Contact us | Canadian Transportation Agency,21177.0,31483.0,29600.0,/contact-us
https://otc-cta.gc.ca/eng/air-passenger-protection-regulations,Air Passenger Protection Regulations | Canadian Transportation Agency,18447.0,23651.0,22551.0,/air-passenger-protection-regulations
https://otc-cta.gc.ca/eng/publication/your-travel-documents,Access denied | Canadian Transportation Agency,15031.0,17646.0,16166.0,/publication/your-travel-documents
https://otc-cta.gc.ca/eng/air-travel-complaints-overview,Air travel complaints overview | Canadian Transportation Agency,12258.0,16149.0,15696.0,/air-travel-complaints-overview
https://otc-cta.gc.ca/eng/training-videos-how-assist-persons-disabilities,Training videos on how to assist persons with disabilities | Canadian Transportation Agency,9546.0,21164.0,17488.0,/training-videos-how-assist-persons-disabilities
https://otc-cta.gc.ca/eng/airline-labour-disruptions-what-passengers-should-know,Airline labour disruptions – what passengers should know | Canadian Transportation Agency,7868.0,12906.0,9709.0,/airline-labour-disruptions-what-passengers-should-know
https://otc-cta.gc.ca/eng/home,Canadian Transportation Agency,7701.0,10898.0,9871.0,/home
https://otc-cta.gc.ca/eng/publication/denied-boarding-a-guide,Denied Boarding: A Guide | Canadian Transportation Agency,6212.0,9083.0,8980.0,/publication/denied-boarding-a-guide
https://otc-cta.gc.ca/eng/,Canadian Transportation Agency,5105.0,5960.0,5786.0,/
https://otc-cta.gc.ca/eng/publication/service-dogs-a-guide,Service dogs: A Guide | Canadian Transportation Agency,4584.0,6671.0,6521.0,/publication/service-dogs-a-guide
https://otc-cta.gc.ca/eng/accessible-transportation,Accessible transportation | Canadian Transportation Agency,4395.0,9378.0,5922.0,/accessible-transportation
https://otc-cta.gc.ca/eng/air-transportation,Air transportation | Canadian Transportation Agency,4326.0,5394.0,5195.0,/air-transportation
https://otc-cta.gc.ca/eng/publication/tarmac-delay-standards-treatment-and-disembarkation-a-guide,Tarmac Delay Standards of Treatment and Disembarkation: A Guide | Canadian Transportation Agency,3606.0,4427.0,4435.0,/publication/tarmac-delay-standards-treatment-and-disembarkation-a-guide
https://otc-cta.gc.ca/eng/news,News | Canadian Transportation Agency,3428.0,4943.0,4521.0,/news
https://otc-cta.gc.ca/eng/national-transportation-system,National transportation system | Canadian Transportation Agency,3366.0,7330.0,4492.0,/national-transportation-system
https://otc-cta.gc.ca/eng/publication/seating-children-accompanying-passenger-airplane-a-guide,Seating of Children with an Accompanying Passenger on an Airplane: A Guide | Canadian Transportation Agency,3216.0,4302.0,4446.0,/publication/seating-children-accompanying-passenger-airplane-a-guide
https://otc-cta.gc.ca/eng/training-transportation-service-providers-how-assist-persons-disabilities,Training for transportation service providers on how to assist persons with disabilities | Canadian Transportation Agency,3183.0,6724.0,5135.0,/training-transportation-service-providers-how-assist-persons-disabilities
https://otc-cta.gc.ca/eng/consultations,Consultations | Canadian Transportation Agency,3128.0,9204.0,5274.0,/consultations
https://otc-cta.gc.ca/eng/compliance-enforcement,Compliance monitoring and enforcement | Canadian Transportation Agency,2867.0,6900.0,3622.0,/compliance-enforcement
https://otc-cta.gc.ca/eng/content/new-refund-regulations-now-force,New refund regulations now in force | Canadian Transportation Agency,2620.0,3105.0,3002.0,/content/new-refund-regulations-now-force
https://otc-cta.gc.ca/eng/accessible-transportation-persons-disabilities-regulations,Accessible Transportation for Persons with Disabilities Regulations | Canadian Transportation Agency,2519.0,4338.0,3881.0,/accessible-transportation-persons-disabilities-regulations
https://otc-cta.gc.ca/eng/air-travel-complaints-100-flights-airline,Air travel complaints per 100 flights – by airline | Canadian Transportation Agency,1959.0,4378.0,2141.0,/air-travel-complaints-100-flights-airline
https://otc-cta.gc.ca/eng/air-travel-complaints,Access denied | Canadian Transportation Agency,1901.0,2503.0,2119.0,/air-travel-complaints
https://otc-cta.gc.ca/eng/summaries-enforcement-actions,Notices of Violations issued by CTA's enforcement officers | Canadian Transportation Agency,1753.0,2933.0,2654.0,/summaries-enforcement-actions
https://otc-cta.gc.ca/eng/publication/at-heart-transportation-a-moving-history,At the Heart of Transportation: A Moving History | Canadian Transportation Agency,1697.0,2083.0,2034.0,/publication/at-heart-transportation-a-moving-history
https://otc-cta.gc.ca/eng/rail-transportation,Rail transportation | Canadian Transportation Agency,1590.0,2217.0,2065.0,/rail-transportation
https://otc-cta.gc.ca/eng/publication/guide-railway-charges-crossing-maintenance-and-construction-2023,Guide to Railway Charges for Crossing Maintenance and Construction 2023 | Canadian Transportation Agency,1315.0,2201.0,2299.0,/publication/guide-railway-charges-crossing-maintenance-and-construction-2023
https://otc-cta.gc.ca/eng/publications,Publications | Canadian Transportation Agency,1264.0,1788.0,1625.0,/publications
https://otc-cta.gc.ca/eng/our-organization/chair-and-ceo,Chair and CEO | Canadian Transportation Agency,1163.0,1397.0,1374.0,/our-organization/chair-and-ceo
https://otc-cta.gc.ca/eng/content/westjet-penalized-violations-appr-0,WestJet penalized for violations of the APPR | Canadian Transportation Agency,1101.0,1284.0,1238.0,/content/westjet-penalized-violations-appr-0
https://otc-cta.gc.ca/eng/content/flair-airlines-ltd-penalized-violations-appr,Flair Airlines Ltd. penalized for violations of the APPR | Canadian Transportation Agency,1016.0,1247.0,1105.0,/content/flair-airlines-ltd-penalized-violations-appr
https://otc-cta.gc.ca/eng/notices-rail-line-discontinuance,Notices of rail line discontinuance | Canadian Transportation Agency,1003.0,1351.0,1301.0,/notices-rail-line-discontinuance
https://otc-cta.gc.ca/eng/publication/annual-report-2024-2025,Annual Report 2024–2025 | Canadian Transportation Agency,765.0,1033.0,1041.0,/publication/annual-report-2024-2025
https://otc-cta.gc.ca/eng/content/westjet-penalized-violations-appr,WestJet penalized for violations of the APPR | Canadian Transportation Agency,722.0,938.0,815.0,/content/westjet-penalized-violations-appr
https://otc-cta.gc.ca/eng/air-passenger-protection-regulations-regulatory-impact-analysis-statement,Air Passenger Protection Regulations - Regulatory Impact Analysis Statement | Canadian Transportation Agency,699.0,993.0,1003.0,/air-passenger-protection-regulations-regulatory-impact-analysis-statement
https://otc-cta.gc.ca/eng/content/porter-airlines-penalized-violations-appr,Porter Airlines penalized for violations of the APPR | Canadian Transportation Agency,693.0,834.0,795.0,/content/porter-airlines-penalized-violations-appr
https://otc-cta.gc.ca/eng/publication/interline-baggage-rules-canada-interpretation-note,Interline Baggage Rules for Canada: Interpretation Note | Canadian Transportation Agency,615.0,936.0,928.0,/publication/interline-baggage-rules-canada-interpretation-note
https://otc-cta.gc.ca/eng/corporate-reports,Corporate reports | Canadian Transportation Agency,581.0,841.0,747.0,/corporate-reports
https://otc-cta.gc.ca/eng/monetary-penalty-framework,Monetary Penalty Framework | Canadian Transportation Agency,563.0,809.0,830.0,/monetary-penalty-framework
https://otc-cta.gc.ca/eng/consultation/baffinland-steensby-railway-consultation,Baffinland Steensby Railway Consultation | Canadian Transportation Agency,500.0,698.0,718.0,/consultation/baffinland-steensby-railway-consultation
